Sample_id,Class_1,Class_2,Class_3,Class_4,Class_5,Class_6,Class_7,Class_8,Class_9,Class_10
21,0.2873485805,0.6269942254,0.0631627865,0.0030526816,0.0012862602,0.0009158640,0.0113715688,0.0010896254,0.0019373804,0.0028410272
22,0.6044978506,0.0157802149,0.0224327988,0.0191176278,0.0520021958,0.0848302236,0.0669695097,0.0746998634,0.0115369390,0.0481327765
23,0.7920169215,0.0223906489,0.0101698776,0.0606376884,0.0596904651,0.0079312737,0.0110360040,0.0172541884,0.0010849904,0.0177879419
24,0.3565843231,0.1429536399,0.0320258402,0.1751492275,0.0129870144,0.0460920793,0.0683918571,0.1166362821,0.0035148878,0.0456648486
25,0.6758019619,0.1467222491,0.0907065164,0.0123522075,0.0093065457,0.0113829089,0.0182510635,0.0268150282,0.0009375562,0.0077239626
26,0.1381841005,0.1206836913,0.0159708061,0.5658382604,0.0380873522,0.0457368893,0.0450682729,0.0048691201,0.0033291468,0.0222323605
27,0.0304115860,0.0946108212,0.7320499327,0.0335105227,0.0073155887,0.0717017085,0.0130026506,0.0006800347,0.0129806186,0.0037365360
28,0.1400197474,0.0021774732,0.0111174901,0.0058473461,0.0729664416,0.0188728295,0.0167683849,0.7022200487,0.0134253612,0.0165848773
29,0.3714437510,0.0052671024,0.0048908146,0.0148301136,0.0914638473,0.0819174037,0.0470046281,0.3090421918,0.0526697863,0.0214703613
30,0.8134320614,0.0220788639,0.0076581158,0.0065222298,0.0470986198,0.0215621833,0.0375876448,0.0385275868,0.0007106612,0.0048220331
31,0.2371227047,0.1240556944,0.0106894764,0.4741988679,0.0133959938,0.0607711104,0.0225141396,0.0130568142,0.0021886721,0.0420065265
32,0.9456309531,0.0189438471,0.0023091013,0.0009820815,0.0177700429,0.0012619388,0.0070684265,0.0021259544,0.0000960833,0.0038115710
33,0.5122040075,0.0894297873,0.0115003240,0.0216646286,0.0153128338,0.0352048573,0.0609250119,0.1941544613,0.0025459242,0.0570581642
34,0.2524203370,0.0197298982,0.0112067755,0.0157188127,0.2116613675,0.1242122075,0.0607868839,0.1327478885,0.0980979594,0.0734178698
35,0.0678540182,0.0209902018,0.0046780190,0.6925204093,0.0314550498,0.0731388313,0.0623088158,0.0111448538,0.0041393368,0.0317704643
36,0.5128456978,0.0741858024,0.0553207977,0.1062606201,0.0248148964,0.0934664408,0.0357277224,0.0535691673,0.0014650735,0.0423437817
37,0.9636996459,0.0077198524,0.0008201416,0.0023311237,0.0069783967,0.0050419233,0.0057643814,0.0050756251,0.0001250530,0.0024438571
38,0.9182576364,0.0096192499,0.0011758970,0.0014133203,0.0306824963,0.0042651311,0.0202683357,0.0105065453,0.0005326911,0.0032786969
39,0.9158808600,0.0281339464,0.0022017732,0.0115376058,0.0134133461,0.0042507397,0.0041493960,0.0124390510,0.0003044470,0.0076888346
40,0.3306943015,0.3800934572,0.0124681619,0.1167606762,0.0544500046,0.0383764821,0.0383910488,0.0102731727,0.0074823410,0.0110103540
41,0.5638452554,0.0240663107,0.0027852834,0.0132146926,0.0890248240,0.0471497730,0.0668875492,0.0508748988,0.0036124498,0.1385389631
42,0.4538015243,0.5070415997,0.0045230270,0.0061223850,0.0089585746,0.0020964811,0.0074066226,0.0020964032,0.0030801760,0.0048732066
43,0.3600908126,0.0152573465,0.1153914444,0.0155776643,0.0822840610,0.1761079248,0.0503023297,0.1216527099,0.0163000003,0.0470357065
44,0.4436377372,0.0903554236,0.0510379210,0.0373979871,0.0498670211,0.0735085817,0.0371898118,0.1760716140,0.0165336469,0.0244002556
45,0.6866659258,0.0997018512,0.0208447144,0.0600930054,0.0119262724,0.0331345157,0.0269421265,0.0314922624,0.0048636038,0.0243357223
46,0.1539883537,0.8238519865,0.0066585681,0.0018319892,0.0077159746,0.0006806252,0.0038336633,0.0002567720,0.0003783279,0.0008037395
47,0.3531143851,0.5891618928,0.0029606484,0.0320219983,0.0094599338,0.0041426451,0.0054444666,0.0004560833,0.0023949009,0.0008430456
48,0.7507532870,0.1585887471,0.0056123903,0.0115198607,0.0248550161,0.0160993945,0.0207328751,0.0071874228,0.0005326492,0.0041183572
49,0.3982659897,0.0593501056,0.0089153079,0.1774730675,0.0460011644,0.0609945483,0.0396110733,0.1913588112,0.0017725770,0.0162573551
50,0.5001087395,0.1460499416,0.0037311602,0.0764475841,0.0264288425,0.1265437633,0.0667304311,0.0361204905,0.0057908388,0.0120482084
51,0.1813400657,0.7769114950,0.0162142890,0.0069551787,0.0023732509,0.0103975127,0.0028908055,0.0000548813,0.0023858890,0.0004766323
52,0.1328294413,0.0338056344,0.5868339573,0.0278658699,0.0960340409,0.0780120398,0.0234246698,0.0062455359,0.0099203753,0.0050284354
53,0.2828817569,0.1478955688,0.0214226480,0.2103478113,0.0665874142,0.0995316894,0.1304563517,0.0123221189,0.0083905812,0.0201640596
54,0.7052950990,0.0175896597,0.0005377830,0.0092938499,0.0292779188,0.0182305508,0.0310308015,0.1641616110,0.0010876422,0.0234950842
55,0.0034142214,0.0069234904,0.9642200890,0.0007254523,0.0014705240,0.0061809495,0.0018290859,0.0003044071,0.0147529493,0.0001788310
56,0.0595323954,0.0440471778,0.6625159027,0.0240974461,0.0443824443,0.0283038331,0.0213083227,0.0032645339,0.0971635251,0.0153844190
57,0.1093303287,0.1016464944,0.0634694009,0.0626931891,0.0989723991,0.1286662300,0.0533721676,0.0323801510,0.2654629580,0.0840066813
58,0.9270404522,0.0269924417,0.0026677505,0.0007312121,0.0203151952,0.0012183741,0.0076556384,0.0073236899,0.0004438472,0.0056113985
59,0.0178626050,0.0146484604,0.8214622144,0.0042470039,0.0111096088,0.0989822984,0.0034492115,0.0004138334,0.0266159685,0.0012087956
60,0.6311239358,0.1196083828,0.0148497050,0.0103186465,0.0249811583,0.0760266934,0.0696389351,0.0380772380,0.0021572077,0.0132180973
61,0.6385713509,0.0241236682,0.0027078612,0.0945157577,0.0575765651,0.0501241905,0.0691247327,0.0303077996,0.0029103051,0.0300377689
62,0.8114365638,0.0661625299,0.0142848483,0.0144667931,0.0245525115,0.0334782880,0.0138006102,0.0048193005,0.0028714172,0.0141271376
63,0.1916608645,0.1020688439,0.0203534007,0.4535954108,0.0802505122,0.0710980472,0.0319240941,0.0305173452,0.0040109235,0.0145205580
64,0.8437773205,0.0204575612,0.0064709070,0.0037314184,0.0699642554,0.0049842341,0.0171101063,0.0120435863,0.0015335030,0.0199271079
65,0.3875753995,0.0223047171,0.0095370556,0.1045437785,0.1171431204,0.2269604332,0.0712186927,0.0169718738,0.0373170146,0.0064279146
66,0.2077152079,0.6336673841,0.0147636385,0.0153645273,0.0130588635,0.0056628514,0.0252203180,0.0044624970,0.0023957771,0.0776889352
67,0.8732077567,0.0208024471,0.0029139148,0.0092411578,0.0059344850,0.0227661063,0.0099104044,0.0280534547,0.0083553674,0.0188149058
68,0.0564895799,0.6996701294,0.0106704314,0.1697756228,0.0137928238,0.0059762879,0.0405817361,0.0005373913,0.0003922802,0.0021137172
69,0.0959900258,0.8224151543,0.0051895449,0.0547288351,0.0097879068,0.0021698662,0.0086085884,0.0001390224,0.0003338379,0.0006372181
70,0.5653192009,0.1592421513,0.0499430903,0.0320591226,0.0452678815,0.0750293191,0.0335513052,0.0250732085,0.0020841096,0.0124306108
71,0.8429462344,0.0103769058,0.0020713003,0.0019010712,0.0101768124,0.0040016960,0.0058811927,0.1146780633,0.0002303506,0.0077363733
72,0.7144520263,0.0654316500,0.0046316732,0.0414002868,0.0903584879,0.0292695017,0.0199115486,0.0279628007,0.0014692979,0.0051127268
73,0.7468083706,0.0313885628,0.0058444558,0.0344549729,0.0236854904,0.0954197019,0.0118696539,0.0393793216,0.0006618602,0.0104876100
74,0.1975311203,0.0162685404,0.0134110520,0.0691639577,0.2701229449,0.0656438919,0.3031133097,0.0262229168,0.0035667137,0.0349555525
75,0.7092653843,0.0100611343,0.0015407047,0.0012300707,0.0175953093,0.0043849905,0.0152202919,0.2297129568,0.0031004839,0.0078886735
76,0.0847978120,0.4635689579,0.3779163564,0.0070247460,0.0098931489,0.0300198582,0.0149640140,0.0011190366,0.0063180529,0.0043780171
77,0.5727794472,0.1788232560,0.0073439582,0.0216085460,0.0154719675,0.1289819474,0.0166214284,0.0341154228,0.0021135504,0.0221404761
78,0.0454021391,0.0551821463,0.7478446379,0.0118466336,0.0098452000,0.0741227866,0.0103491693,0.0025022213,0.0360706856,0.0068343804
79,0.0659635176,0.0195102204,0.1478952035,0.0089785416,0.0290627759,0.1754543732,0.0268600894,0.0028071724,0.5055512412,0.0179168648
80,0.2702498769,0.0583318701,0.0194584295,0.1027566945,0.0451278066,0.0738687593,0.1081525648,0.0588878955,0.0262461576,0.2369199452
81,0.0755669006,0.0237770078,0.3506627435,0.0132278030,0.0347018139,0.2952000814,0.0314778587,0.0202925375,0.1329354545,0.0221577992
82,0.8369051312,0.0585361652,0.0007453358,0.0040913701,0.0107692656,0.0032630170,0.0683754207,0.0112852703,0.0019984673,0.0040305568
83,0.8826742747,0.0129560100,0.0004009407,0.0023806639,0.0091966321,0.0052389635,0.0318569721,0.0481066216,0.0029850071,0.0042039142
84,0.5979987452,0.2952156821,0.0039116798,0.0771174600,0.0065678040,0.0030807347,0.0124706560,0.0006104818,0.0007127516,0.0023140049
85,0.0060549553,0.0309886674,0.8284168166,0.0041534514,0.0033236245,0.0162449006,0.0046515705,0.0005343825,0.1049672440,0.0006643871
86,0.7428676604,0.0192056591,0.0177952719,0.0050163254,0.0526003404,0.0210256916,0.0540001063,0.0549033289,0.0037909515,0.0287946645
87,0.2812467565,0.0553779968,0.0036494846,0.4967190005,0.0393451483,0.0458034795,0.0684524750,0.0018341321,0.0007730261,0.0067985006
88,0.0202991056,0.1651420883,0.7414233455,0.0084841517,0.0059504763,0.0426295122,0.0063218191,0.0005449218,0.0035414302,0.0056631492
89,0.2634401252,0.0218212950,0.0346568022,0.2275661521,0.0774132819,0.1022287600,0.0635531954,0.1765231623,0.0044849093,0.0283123165
90,0.6821774638,0.0095323718,0.0027499338,0.0480476217,0.0219521910,0.1062699317,0.0405031128,0.0773229749,0.0009112872,0.0105331115
91,0.4661629272,0.0298748268,0.0236749316,0.0338120111,0.0861117987,0.2113633857,0.0375026664,0.0259621482,0.0061938170,0.0793414872
92,0.1019980445,0.3208575585,0.4405130373,0.0161217973,0.0297639087,0.0418635207,0.0321906731,0.0027405976,0.0093551686,0.0045956938
93,0.8006131982,0.0193509796,0.0020346023,0.0014637130,0.0546163818,0.0066639770,0.0389342693,0.0533997476,0.0025300758,0.0203930555
94,0.9146849776,0.0193200216,0.0114149127,0.0006103699,0.0183229325,0.0018674596,0.0216635195,0.0064593412,0.0019519354,0.0037045300
95,0.7897024444,0.0502204326,0.0004730679,0.0068212840,0.0642349588,0.0086113825,0.0643756763,0.0038988615,0.0052747469,0.0063871452
96,0.8453142542,0.0278192288,0.0038138095,0.0152561242,0.0070901002,0.0080333607,0.0238617558,0.0427746715,0.0004223947,0.0256143005
97,0.1608520842,0.0170456836,0.0121576796,0.0219350160,0.1454150156,0.5307525739,0.0352967113,0.0324015979,0.0375842526,0.0065593853
98,0.3776508682,0.0554385023,0.0433342353,0.2565249511,0.0198836055,0.1497206513,0.0341622863,0.0343282572,0.0019564770,0.0270001659
99,0.2274434627,0.5849445302,0.0148663122,0.0396927012,0.0380706550,0.0060288772,0.0743905290,0.0049838353,0.0052514470,0.0043276501
100,0.2233623308,0.0327766833,0.0807308547,0.0249036013,0.2229884588,0.1241624255,0.0800355905,0.1047600108,0.0692057909,0.0370742535
101,0.8719159604,0.0415746951,0.0017158514,0.0019928818,0.0300692442,0.0037795029,0.0273073981,0.0114374890,0.0012141257,0.0089928516
102,0.0959099222,0.0205575964,0.0041285573,0.4199831739,0.0829140399,0.1046606547,0.1695459213,0.0440917127,0.0036501400,0.0545582816
103,0.2948961121,0.0120798442,0.0094584888,0.0500132965,0.0925001437,0.1793342666,0.0562688003,0.0791502414,0.0396575695,0.1866412371
104,0.8151069976,0.0366846527,0.0013089720,0.0134364026,0.0238008359,0.0238309615,0.0419052341,0.0271890882,0.0014877758,0.0152490796
105,0.0884699023,0.2873805310,0.0176241249,0.5213704366,0.0123366197,0.0315222811,0.0324082642,0.0017883748,0.0041443623,0.0029551032
106,0.8875046798,0.0835391266,0.0030752836,0.0019759094,0.0069177433,0.0020751624,0.0051693356,0.0064133421,0.0019889307,0.0013404864
107,0.5701464826,0.0076182551,0.0034256899,0.0111060140,0.0702001835,0.0433183895,0.0322324452,0.2531482321,0.0031752739,0.0056290342
108,0.9682847543,0.0100479698,0.0003606659,0.0005443898,0.0044974679,0.0009834660,0.0083782068,0.0010178832,0.0002852729,0.0055999235
109,0.1448030722,0.5082155162,0.0249238517,0.1169627043,0.0707754700,0.0436040527,0.0585719338,0.0065065251,0.0042229736,0.0214139005
110,0.8304786196,0.0302784285,0.0054683709,0.0446411599,0.0193754151,0.0145200017,0.0137591618,0.0257035943,0.0006944283,0.0150808200
111,0.3253026242,0.2142676811,0.2016637818,0.0272448071,0.0235839214,0.0970111803,0.0255242565,0.0143674020,0.0561512824,0.0148830632
112,0.0342353786,0.7985286603,0.0786996365,0.0055958556,0.0082979795,0.0349424392,0.0115065991,0.0068881844,0.0173595250,0.0039457418
113,0.8890954626,0.0398440558,0.0010800024,0.0057651878,0.0165650480,0.0077735565,0.0132287707,0.0193197617,0.0019397749,0.0053883798
114,0.6687914955,0.0283507357,0.0033588989,0.0044639646,0.0223204955,0.0159661026,0.0364519450,0.1391992418,0.0152734310,0.0658236894
115,0.9622750180,0.0183522418,0.0014199336,0.0004579138,0.0040769321,0.0045971010,0.0027182580,0.0042024538,0.0005187222,0.0013814258
116,0.4809546465,0.0231474701,0.0081341065,0.0969010164,0.0529038347,0.0183035877,0.0922089100,0.1427990170,0.0095454598,0.0751019512
117,0.7953830974,0.0361489348,0.0373533533,0.0017573268,0.0755332327,0.0050766219,0.0210831424,0.0156020928,0.0037750516,0.0082871463
118,0.8991698094,0.0262183012,0.0159931129,0.0040369873,0.0226926813,0.0038577741,0.0178612320,0.0029060589,0.0009677533,0.0062962897
119,0.9559613320,0.0092338563,0.0013603041,0.0007966509,0.0182945101,0.0024416782,0.0078008771,0.0024753506,0.0002017687,0.0014336718
120,0.7507251149,0.0363376878,0.1040240580,0.0035662443,0.0342523458,0.0207590834,0.0202453279,0.0155959041,0.0023454955,0.0121487383
121,0.7138601168,0.0230297731,0.0020977285,0.0030340768,0.0158834566,0.0129419713,0.0170540836,0.2062851504,0.0003026150,0.0055110279
122,0.9461459260,0.0295137113,0.0002154319,0.0008191428,0.0090951533,0.0023921095,0.0075569811,0.0016407836,0.0004561894,0.0021645712
123,0.1590468372,0.6319267409,0.0236481373,0.0795664876,0.0283094031,0.0249650943,0.0165127382,0.0020377879,0.0038045485,0.0301822250
124,0.8952898365,0.0339634342,0.0013971240,0.0045806063,0.0218258381,0.0032712350,0.0236171277,0.0065973059,0.0007404345,0.0087170577
125,0.0643090048,0.0291049048,0.6884473743,0.0057711578,0.0977286216,0.0327813761,0.0571317682,0.0060661509,0.0120975369,0.0065621045
126,0.2316048080,0.1686992802,0.0297763763,0.1147892513,0.1852908396,0.0737005249,0.0812748260,0.0058656064,0.0885704974,0.0204279900
127,0.7255366199,0.0234389553,0.0089980149,0.0062235166,0.0497051289,0.0253385421,0.0360719958,0.0505477582,0.0036494071,0.0704900612
128,0.9637407786,0.0160704743,0.0012318871,0.0015918709,0.0043731128,0.0053991277,0.0044306510,0.0018676632,0.0001006884,0.0011937460
129,0.0441864939,0.1794413808,0.4135587185,0.0650275306,0.0058460810,0.1053082060,0.0191458150,0.0038947355,0.1535878596,0.0100031791
130,0.3593058796,0.5814085988,0.0026297873,0.0192950519,0.0082252253,0.0051779917,0.0192548743,0.0007374501,0.0003881146,0.0035770265
131,0.1131678741,0.0196634326,0.0176013112,0.0323569187,0.6029694781,0.0940094328,0.0579034644,0.0067347648,0.0497572349,0.0058360885
132,0.7745479908,0.0093992918,0.0016670484,0.0007930949,0.0305170771,0.0054650202,0.0298395617,0.1380737740,0.0016476058,0.0080495353
133,0.8904719481,0.0055003106,0.0013574556,0.0047665292,0.0258101264,0.0206207861,0.0117687672,0.0244118842,0.0017494660,0.0135427267
134,0.2051767316,0.0589870080,0.0283043884,0.0158424552,0.2384555771,0.1304008572,0.0813138066,0.0371582406,0.1469727393,0.0573881962
135,0.6337959975,0.2184188113,0.0201087634,0.0054699751,0.0713079442,0.0118216991,0.0299554268,0.0008452207,0.0022279781,0.0060481840
136,0.0637342880,0.0505241070,0.0106432013,0.6575744852,0.0484030633,0.0972534340,0.0271487788,0.0253051096,0.0026658335,0.0167476994
137,0.0451801401,0.0222948531,0.0305479764,0.0090525993,0.0136095514,0.8049501685,0.0262697130,0.0021519037,0.0439726552,0.0019704393
138,0.0690268640,0.0140174365,0.8551898761,0.0060578350,0.0145305693,0.0191799052,0.0046855713,0.0006041378,0.0157986639,0.0009091409
139,0.1766116349,0.0189875054,0.4912224408,0.0234990393,0.0636179481,0.1354810495,0.0285113055,0.0143695996,0.0219642144,0.0257352624
140,0.7731144478,0.0273098261,0.0039040450,0.0361810293,0.0180561076,0.0114438664,0.0240881603,0.0691151771,0.0010808237,0.0357065168
141,0.8144426401,0.1125866731,0.0010591660,0.0088841022,0.0137049813,0.0046287090,0.0198176782,0.0150894134,0.0069946994,0.0027919370
142,0.5445676491,0.0834557931,0.0057123476,0.0461979633,0.0322697098,0.0119117029,0.0684843102,0.1304623362,0.0028748016,0.0740633863
143,0.4747193508,0.1615779891,0.0117250620,0.0298158436,0.1071335067,0.0151345667,0.1446617397,0.0250940133,0.0126001445,0.0175377836
144,0.8524844292,0.0165176205,0.0007900692,0.0024322393,0.0238756132,0.0053248107,0.0164238070,0.0791778809,0.0003188284,0.0026547017
145,0.2791775911,0.0402797832,0.0429611304,0.0716363580,0.0509318484,0.1867577937,0.0921663134,0.0205547193,0.0176568351,0.1978776275
146,0.6847392880,0.0185174428,0.0018872906,0.0010566043,0.0125289213,0.0027220922,0.0218071731,0.2474364620,0.0032387223,0.0060660034
147,0.4869976973,0.2789724175,0.0044878403,0.0316344681,0.0297758226,0.0048817693,0.0907322694,0.0583452106,0.0059733618,0.0081991431
148,0.7624846395,0.0274687088,0.0020794653,0.0327263221,0.0807902372,0.0564100797,0.0162955201,0.0161874536,0.0018818000,0.0036757735
149,0.1373680404,0.1427126161,0.2450211618,0.0208372205,0.1944882243,0.0338619007,0.0235988378,0.0017936533,0.1947271406,0.0055912047
150,0.7367359464,0.1841669951,0.0353487949,0.0012885706,0.0160845628,0.0026647865,0.0086828953,0.0055005630,0.0007415271,0.0087853582
151,0.4461153388,0.5330553241,0.0037551849,0.0042407722,0.0022225971,0.0009183876,0.0078661826,0.0008050721,0.0004247907,0.0005963500
152,0.4834371710,0.0120708987,0.0081127127,0.0968114535,0.0749907906,0.0734226951,0.0729848624,0.1152964411,0.0394414903,0.0234314845
153,0.1029889403,0.8725485859,0.0077247609,0.0059833974,0.0043391503,0.0008358990,0.0035076456,0.0009948631,0.0003915306,0.0006852271
154,0.2037417262,0.2446051954,0.0274620249,0.1733782197,0.1672787397,0.0917554030,0.0604388176,0.0060864334,0.0087736621,0.0164797780
155,0.0929365559,0.0856449006,0.0357205318,0.1432708107,0.0783077741,0.3474798446,0.0623162946,0.0054820373,0.1376973123,0.0111439381
156,0.9568066164,0.0153763406,0.0025808821,0.0046097714,0.0059374050,0.0035514435,0.0042158420,0.0031551049,0.0003758174,0.0033907767
157,0.1800504496,0.0264237989,0.0385193629,0.0179513703,0.0716256926,0.2276513596,0.0993625363,0.1720022090,0.0109174952,0.1554957257
158,0.5800874616,0.0638518811,0.0026515610,0.0180943844,0.1128734011,0.0492797042,0.0639519783,0.0961450462,0.0048300824,0.0082344998
159,0.5668157961,0.0482615274,0.0051403053,0.0397415991,0.0758376218,0.0588538830,0.0870809849,0.0924652424,0.0076422280,0.0181608120
160,0.7021626899,0.0208693642,0.0030476818,0.0459973416,0.0479215905,0.0476752505,0.0587177109,0.0351028352,0.0097858125,0.0287197229
161,0.5160009415,0.0339728895,0.0098162662,0.0131020661,0.0923943893,0.0161892205,0.1751637761,0.0993847382,0.0059504708,0.0380252417
162,0.4676581034,0.1147583688,0.0100430391,0.1265886987,0.0329995947,0.1450552296,0.0746334538,0.0072286818,0.0067491458,0.0142856843
163,0.6834558490,0.0107635564,0.0058869104,0.0071845073,0.0738878655,0.0281911720,0.0439919660,0.1210025608,0.0040544827,0.0215811299
164,0.2364323337,0.4573812719,0.0329116042,0.1215531889,0.0035763731,0.1179343563,0.0191335736,0.0050005019,0.0010382258,0.0050385705
165,0.1639975450,0.0330501551,0.0282640415,0.1881795284,0.1576391664,0.1271389166,0.0780128231,0.0484348224,0.1243800473,0.0509029541
166,0.4889166293,0.0665594562,0.0299042090,0.0675603733,0.0764655114,0.1237272397,0.0715336786,0.0383043101,0.0213571273,0.0156714652
167,0.4071358304,0.0235482838,0.0149382197,0.0048613132,0.0387757245,0.0112911807,0.0284797020,0.4052783483,0.0043084136,0.0613829838
168,0.7606789619,0.0315658084,0.0138382808,0.0030307895,0.0683856246,0.0733348352,0.0301631384,0.0031150102,0.0110036699,0.0048838811
169,0.1224977474,0.0158842898,0.0238115348,0.3976984190,0.0390706844,0.3127349560,0.0185670829,0.0244349692,0.0028817904,0.0424185260
170,0.2387014015,0.0156471539,0.0074678116,0.1897485021,0.2229501390,0.1599667382,0.0439443054,0.0433782943,0.0058617798,0.0723338741
171,0.0933297289,0.7391754359,0.0228148118,0.0362300712,0.0099651882,0.0152620630,0.0786936744,0.0012852913,0.0005385799,0.0027051553
172,0.6173124414,0.0044934151,0.0025793722,0.0186541297,0.1609849276,0.0807742771,0.0212973375,0.0848068836,0.0019984672,0.0070987487
173,0.3751616992,0.0410698906,0.0320494557,0.0167883394,0.1646999529,0.0386278554,0.0744377401,0.2222344012,0.0129217979,0.0220088675
174,0.3297253058,0.0264552790,0.0120007183,0.0959479621,0.0924397564,0.2763745409,0.0144860463,0.0990945207,0.0215057745,0.0319700959
175,0.7861443861,0.0806502449,0.0333151786,0.0052468983,0.0125874028,0.0082633762,0.0537892918,0.0054910879,0.0014436691,0.0130684642
176,0.6147055226,0.3470111372,0.0087065316,0.0080700472,0.0025477941,0.0009741299,0.0149674510,0.0013206182,0.0005001092,0.0011966590
177,0.3791817661,0.4154481670,0.0565152001,0.0125236640,0.0514004063,0.0124725913,0.0265682017,0.0249731242,0.0031131087,0.0178037706
178,0.6392036703,0.0202981176,0.0053651499,0.1224665458,0.0564105948,0.0545224311,0.0462630490,0.0321730494,0.0015474336,0.0217499584
179,0.5688447814,0.0093081671,0.0025023781,0.0109599714,0.1032266523,0.0806063831,0.0447648425,0.1465136361,0.0024184811,0.0308547069
180,0.7902330813,0.0265000594,0.0105464071,0.0234787505,0.0153424719,0.0227629918,0.0480463395,0.0366286805,0.0008778217,0.0255833962
181,0.8264576345,0.0243724220,0.0006323414,0.0034469914,0.0081092450,0.0149300502,0.0145020693,0.0624533597,0.0010133192,0.0440825673
182,0.9023130578,0.0361074650,0.0039362620,0.0112221874,0.0193328168,0.0040794427,0.0057613952,0.0138877667,0.0002661415,0.0030934651
183,0.0243785274,0.9480316584,0.0172046160,0.0043959331,0.0024294667,0.0008932971,0.0021210731,0.0000132769,0.0004771464,0.0000550049
184,0.1480770207,0.1435724822,0.0627857959,0.0202194653,0.0094907637,0.5170476502,0.0672382236,0.0037395867,0.0177674837,0.0100615280
185,0.3556041363,0.5510006597,0.0052931734,0.0277189373,0.0138150600,0.0190057698,0.0200652915,0.0008905180,0.0049714458,0.0016350082
186,0.8076005192,0.0271849584,0.0095443949,0.0043356168,0.0600351894,0.0066248188,0.0186676841,0.0447669471,0.0006277755,0.0206120958
187,0.0642785168,0.0093447210,0.7164344964,0.0224044988,0.0208545426,0.1293059530,0.0110287756,0.0113360298,0.0084383717,0.0065740943
188,0.5994622529,0.0259970253,0.0186105386,0.0086251556,0.1197283650,0.0639165638,0.0622774342,0.0643394246,0.0111886658,0.0258545743
189,0.5101414675,0.1543435493,0.0092253636,0.0720683694,0.0916654544,0.0225741365,0.0986806364,0.0131736091,0.0030053042,0.0251221097
190,0.1979724038,0.0329934493,0.0038066332,0.3248775290,0.0713542341,0.0691371657,0.0478932822,0.0750969652,0.0032335998,0.1736347377
191,0.2265396869,0.3131217702,0.0474071386,0.1009497222,0.0938957938,0.0660058134,0.1140124683,0.0026554585,0.0273704819,0.0080416661
192,0.0875152030,0.8607633380,0.0072608680,0.0301429239,0.0043019211,0.0035296499,0.0042850215,0.0001780524,0.0009070011,0.0011160213
